{
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.025, T=100, N=10): 	 { "mean":2.2148544788360596, "stdv":0.15003408491611406, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.02, T=100, N=10): 	 { "mean":2.2695367336273193, "stdv":0.15975648164749146, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.015, T=100, N=10): 	 { "mean":2.338113307952881, "stdv":0.17215614020824369, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.01, T=100, N=10): 	 { "mean":2.429929256439209, "stdv":0.19235105812549533, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.005, T=100, N=10): 	 { "mean":2.545872926712036, "stdv":0.2308177947998047, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.025, T=100, N=10): 	 { "mean":2.2159647941589355, "stdv":0.14734050631523132, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.02, T=100, N=10): 	 { "mean":2.2709357738494873, "stdv":0.15757213532924583, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.015, T=100, N=10): 	 { "mean":2.3394811153411865, "stdv":0.17093053460121155, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.01, T=100, N=10): 	 { "mean":2.4307384490966797, "stdv":0.1921409219503397, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.005, T=100, N=10): 	 { "mean":2.546060800552368, "stdv":0.23086696863174438, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.025, T=100, N=10): 	 { "mean":2.2139551639556885, "stdv":0.14783929288387224, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.02, T=100, N=10): 	 { "mean":2.2690846920013428, "stdv":0.15801531076431274, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.015, T=100, N=10): 	 { "mean":2.3380749225616455, "stdv":0.1711824387311929, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.01, T=100, N=10): 	 { "mean":2.4299912452697754, "stdv":0.1921801418066019, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.005, T=100, N=10): 	 { "mean":2.545870304107666, "stdv":0.2308563143014903, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.025, T=100, N=10): 	 { "mean":2.582916498184204, "stdv":0.12509498000144958, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.02, T=100, N=10): 	 { "mean":2.588054656982422, "stdv":0.1271248757839203, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.015, T=100, N=10): 	 { "mean":2.5962252616882324, "stdv":0.1321585774421692, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.01, T=100, N=10): 	 { "mean":2.611767292022705, "stdv":0.14013347029685974, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.005, T=100, N=10): 	 { "mean":2.641639232635498, "stdv":0.1457381546497345, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gdc', eta=0.025, T=100, N=10): 	 { "mean":2.583516836166382, "stdv":0.12400861829519429, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gdc', eta=0.02, T=100, N=10): 	 { "mean":2.588435649871826, "stdv":0.12691856920719058, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gdc', eta=0.015, T=100, N=10): 	 { "mean":2.596569299697876, "stdv":0.1323820501565925, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gdc', eta=0.01, T=100, N=10): 	 { "mean":2.6120686531066895, "stdv":0.14020413160324097, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gdc', eta=0.005, T=100, N=10): 	 { "mean":2.6417441368103027, "stdv":0.14570213854312822, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gd', eta=0.025, T=100, N=10): 	 { "mean":2.582085132598877, "stdv":0.1229269281029717, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gd', eta=0.02, T=100, N=10): 	 { "mean":2.58732271194458, "stdv":0.125797137618064, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gd', eta=0.015, T=100, N=10): 	 { "mean":2.5957043170928955, "stdv":0.13155236840248108, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gd', eta=0.01, T=100, N=10): 	 { "mean":2.6115329265594482, "stdv":0.13987521827220836, "nb_samples":10 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='gd', eta=0.005, T=100, N=10): 	 { "mean":2.6415855884552, "stdv":0.1456512212753296, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.025, T=100, N=10): 	 { "mean":0.19, "stdv":0.11357816691600545, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.02, T=100, N=10): 	 { "mean":0.19, "stdv":0.1044030650891055, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.015, T=100, N=10): 	 { "mean":0.19, "stdv":0.09433981132056603, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.01, T=100, N=10): 	 { "mean":0.17, "stdv":0.11000000000000001, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.005, T=100, N=10): 	 { "mean":0.16, "stdv":0.08, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gdc', eta=0.025, T=100, N=10): 	 { "mean":0.19, "stdv":0.11357816691600545, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gdc', eta=0.02, T=100, N=10): 	 { "mean":0.19, "stdv":0.1044030650891055, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gdc', eta=0.015, T=100, N=10): 	 { "mean":0.19, "stdv":0.1044030650891055, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gdc', eta=0.01, T=100, N=10): 	 { "mean":0.17, "stdv":0.11000000000000001, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gdc', eta=0.005, T=100, N=10): 	 { "mean":0.16, "stdv":0.08, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gd', eta=0.025, T=100, N=10): 	 { "mean":0.2, "stdv":0.12649110640673517, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gd', eta=0.02, T=100, N=10): 	 { "mean":0.19, "stdv":0.1044030650891055, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gd', eta=0.015, T=100, N=10): 	 { "mean":0.19, "stdv":0.1044030650891055, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gd', eta=0.01, T=100, N=10): 	 { "mean":0.17, "stdv":0.11000000000000001, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='gd', eta=0.005, T=100, N=10): 	 { "mean":0.16, "stdv":0.08, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='sgd', eta=0.025, T=100, N=10): 	 { "mean":0.09, "stdv":0.06041522986797286, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='sgd', eta=0.02, T=100, N=10): 	 { "mean":0.08499999999999999, "stdv":0.0653834841531101, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='sgd', eta=0.015, T=100, N=10): 	 { "mean":0.0925, "stdv":0.06025985396596976, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='sgd', eta=0.01, T=100, N=10): 	 { "mean":0.0925, "stdv":0.048798053239857836, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='sgd', eta=0.005, T=100, N=10): 	 { "mean":0.11250000000000002, "stdv":0.051538820320220745, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gdc', eta=0.025, T=100, N=10): 	 { "mean":0.08499999999999999, "stdv":0.0634428877022476, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gdc', eta=0.02, T=100, N=10): 	 { "mean":0.0825, "stdv":0.06329494450586082, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gdc', eta=0.015, T=100, N=10): 	 { "mean":0.0925, "stdv":0.06025985396596976, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gdc', eta=0.01, T=100, N=10): 	 { "mean":0.095, "stdv":0.04847679857416329, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gdc', eta=0.005, T=100, N=10): 	 { "mean":0.11500000000000002, "stdv":0.051478150704935, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gd', eta=0.025, T=100, N=10): 	 { "mean":0.0875, "stdv":0.06149186938124422, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gd', eta=0.02, T=100, N=10): 	 { "mean":0.08499999999999999, "stdv":0.0634428877022476, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gd', eta=0.015, T=100, N=10): 	 { "mean":0.09, "stdv":0.061441028637222526, "nb_samples":10 },
    OptimKey(kind='main', metric='acc', evalset='test', sampler='gd', eta=0.01, T=100, N=10): 	 { "mean":0.095, "stdv":0.04847679857416329, "nb_samples":10 },
