{
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.25, T=10, N=10): 	 { "mean":2.153294086456299, "stdv":0.05736219882965088, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.2, T=10, N=10): 	 { "mean":2.1797099113464355, "stdv":0.04784968867897741, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.15000000000000002, T=10, N=10): 	 { "mean":2.2077832221984863, "stdv":0.03738255798816384, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.1, T=10, N=10): 	 { "mean":2.2375805377960205, "stdv":0.02592785097658039, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.05, T=10, N=10): 	 { "mean":2.269162893295288, "stdv":0.013467644341274766, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.25, T=10, N=10): 	 { "mean":2.155712366104126, "stdv":0.057155705988410535, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.2, T=10, N=10): 	 { "mean":2.1814565658569336, "stdv":0.04780833423137432, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.15000000000000002, T=10, N=10): 	 { "mean":2.20892333984375, "stdv":0.037459507584568875, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.1, T=10, N=10): 	 { "mean":2.2382078170776367, "stdv":0.02605941146612913, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.05, T=10, N=10): 	 { "mean":2.2694003582000732, "stdv":0.013576630502938712, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.25, T=10, N=10): 	 { "mean":2.311774492263794, "stdv":0.02478378079830977, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.2, T=10, N=10): 	 { "mean":2.3083646297454834, "stdv":0.019990660250196638, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.15000000000000002, T=10, N=10): 	 { "mean":2.3056769371032715, "stdv":0.015143143013114084, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.1, T=10, N=10): 	 { "mean":2.3037760257720947, "stdv":0.010215231217445938, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.05, T=10, N=10): 	 { "mean":2.302725076675415, "stdv":0.00517776841294209, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sde', eta=0.25, T=10, N=10): 	 { "mean":2.312066078186035, "stdv":0.024882197380065918, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sde', eta=0.2, T=10, N=10): 	 { "mean":2.308584213256836, "stdv":0.020110454410308693, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sde', eta=0.15000000000000002, T=10, N=10): 	 { "mean":2.305818796157837, "stdv":0.015262641944001612, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sde', eta=0.1, T=10, N=10): 	 { "mean":2.303847074508667, "stdv":0.010314960964005526, "nb_samples":1000 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sde', eta=0.05, T=10, N=10): 	 { "mean":2.3027446269989014, "stdv":0.00523826433343289, "nb_samples":1000 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.25, T=10, N=10): 	 { "mean":0.3232, "stdv":0.0940306333063858, "nb_samples":1000 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.2, T=10, N=10): 	 { "mean":0.32389999999999997, "stdv":0.09316002361528249, "nb_samples":1000 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.15000000000000002, T=10, N=10): 	 { "mean":0.32569999999999993, "stdv":0.0940718342544675, "nb_samples":1000 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.1, T=10, N=10): 	 { "mean":0.3261, "stdv":0.09459804437724914, "nb_samples":1000 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sgd', eta=0.05, T=10, N=10): 	 { "mean":0.32559999999999995, "stdv":0.09340578140564965, "nb_samples":1000 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sde', eta=0.25, T=10, N=10): 	 { "mean":0.3196, "stdv":0.09987912694852713, "nb_samples":1000 },
    OptimKey(kind='main', metric='acc', evalset='train', sampler='sde', eta=0.2, T=10, N=10): 	 { "mean":0.31789999999999996, "stdv":0.09894235695595693, "nb_samples":1000 },
