{
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.15, T=10, N=10): 	 { "mean":2.175966739654541, "stdv":0.15396946668624878, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.125, T=10, N=10): 	 { "mean":2.2110397815704346, "stdv":0.15961939096450806, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.1, T=10, N=10): 	 { "mean":2.248947858810425, "stdv":0.16767463088035583, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.07500000000000001, T=10, N=10): 	 { "mean":2.2899084091186523, "stdv":0.17843353748321533, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.05, T=10, N=10): 	 { "mean":2.334110975265503, "stdv":0.19208237528800964, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.025, T=10, N=10): 	 { "mean":2.381704092025757, "stdv":0.20867611467838235, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.15, T=10, N=10): 	 { "mean":2.1723170280456543, "stdv":0.15195602178573608, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.125, T=10, N=10): 	 { "mean":2.20796275138855, "stdv":0.15792538225650718, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.1, T=10, N=10): 	 { "mean":2.246595621109009, "stdv":0.16638225317001343, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.07500000000000001, T=10, N=10): 	 { "mean":2.2883551120758057, "stdv":0.17758081853389676, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.05, T=10, N=10): 	 { "mean":2.3333163261413574, "stdv":0.1916463226079935, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gdc', eta=0.025, T=10, N=10): 	 { "mean":2.3814806938171387, "stdv":0.2085537314414978, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.15, T=10, N=10): 	 { "mean":2.1746249198913574, "stdv":0.1536829173564911, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.125, T=10, N=10): 	 { "mean":2.2099766731262207, "stdv":0.15935322642326355, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.1, T=10, N=10): 	 { "mean":2.2481675148010254, "stdv":0.1674442440271371, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.07500000000000001, T=10, N=10): 	 { "mean":2.2894060611724854, "stdv":0.17825864255428253, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.05, T=10, N=10): 	 { "mean":2.333858013153076, "stdv":0.19197997450828552, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='gd', eta=0.025, T=10, N=10): 	 { "mean":2.381633758544922, "stdv":0.20864392817020364, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.15, T=10, N=10): 	 { "mean":2.3875484466552734, "stdv":0.09453560411929966, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.125, T=10, N=10): 	 { "mean":2.3936121463775635, "stdv":0.09574991464614868, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.1, T=10, N=10): 	 { "mean":2.401390790939331, "stdv":0.09739934653043718, "nb_samples":1 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.07500000000000001, T=10, N=10): 	 { "mean":2.411170482635498, "stdv":0.0995924174785614, "nb_samples":1 },
