{
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.25, T=10, N=10): 	 { "mean":2.3640217781066895, "stdv":0.20951248705387063, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.2, T=10, N=10): 	 { "mean":2.3997530937194824, "stdv":0.21342636644840188, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.15000000000000002, T=10, N=10): 	 { "mean":2.436884641647339, "stdv":0.218108400702476, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.1, T=10, N=10): 	 { "mean":2.4754621982574463, "stdv":0.22365088760852764, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sgd', eta=0.05, T=10, N=10): 	 { "mean":2.5155320167541504, "stdv":0.23014503717422485, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.25, T=10, N=10): 	 { "mean":2.3659331798553467, "stdv":0.20923368632793374, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.2, T=10, N=10): 	 { "mean":2.4010379314422607, "stdv":0.2132125198841095, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.15000000000000002, T=10, N=10): 	 { "mean":2.4376461505889893, "stdv":0.21794627606868694, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.1, T=10, N=10): 	 { "mean":2.4758219718933105, "stdv":0.2235339730978007, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='train', sampler='sde', eta=0.05, T=10, N=10): 	 { "mean":2.5156311988830566, "stdv":0.23007741570472717, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.25, T=10, N=10): 	 { "mean":2.4992687702178955, "stdv":0.11675755679607296, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.2, T=10, N=10): 	 { "mean":2.510066270828247, "stdv":0.11683729290962219, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.15000000000000002, T=10, N=10): 	 { "mean":2.521728992462158, "stdv":0.11717885732650757, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.1, T=10, N=10): 	 { "mean":2.534301280975342, "stdv":0.11781886219978333, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sgd', eta=0.05, T=10, N=10): 	 { "mean":2.5478289127349854, "stdv":0.11879938095808006, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sde', eta=0.25, T=10, N=10): 	 { "mean":2.5001492500305176, "stdv":0.11685877293348289, "nb_samples":2500 },
    OptimKey(kind='main', metric='loss', evalset='test', sampler='sde', eta=0.2, T=10, N=10): 	 { "mean":2.5106661319732666, "stdv":0.1168960183858862, "nb_samples":2500 },
