{
    OptimKey(kind='main', metric='weight', evalset='train', sampler='sde', eta=0.25, T=10, N=10): 	 { "mean":-0.014057628810405731, "stdv":0.101882204413414, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='train', sampler='sde', eta=0.2, T=10, N=10): 	 { "mean":-0.013417573645710945, "stdv":0.0937589779496193, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='train', sampler='sde', eta=0.15000000000000002, T=10, N=10): 	 { "mean":-0.011708203703165054, "stdv":0.0811859741806984, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='train', sampler='sde', eta=0.1, T=10, N=10): 	 { "mean":-0.008828925900161266, "stdv":0.06269624084234238, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='train', sampler='sde', eta=0.05, T=10, N=10): 	 { "mean":-0.004816947504878044, "stdv":0.036427948623895645, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='test', sampler='sde', eta=0.25, T=10, N=10): 	 { "mean":-0.014057628810405731, "stdv":0.101882204413414, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='test', sampler='sde', eta=0.2, T=10, N=10): 	 { "mean":-0.013417573645710945, "stdv":0.0937589779496193, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='test', sampler='sde', eta=0.15000000000000002, T=10, N=10): 	 { "mean":-0.011708203703165054, "stdv":0.0811859741806984, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='test', sampler='sde', eta=0.1, T=10, N=10): 	 { "mean":-0.008828925900161266, "stdv":0.06269624084234238, "nb_samples":10 },
    OptimKey(kind='main', metric='weight', evalset='test', sampler='sde', eta=0.05, T=10, N=10): 	 { "mean":-0.004816947504878044, "stdv":0.036427948623895645, "nb_samples":10 },
    OptimKey(kind='main', metric='real-loss', evalset='train', sampler='sde', eta=0.25, T=10, N=10): 	 { "mean":0.0026847302913665773, "stdv":0.003090227504005068, "nb_samples":10 },
    OptimKey(kind='main', metric='real-loss', evalset='train', sampler='sde', eta=0.2, T=10, N=10): 	 { "mean":0.0022756993770599366, "stdv":0.0027042950052276835, "nb_samples":10 },
    OptimKey(kind='main', metric='real-loss', evalset='train', sampler='sde', eta=0.15000000000000002, T=10, N=10): 	 { "mean":0.0017035603523254395, "stdv":0.0020877753757076157, "nb_samples":10 },
    OptimKey(kind='main', metric='real-loss', evalset='train', sampler='sde', eta=0.1, T=10, N=10): 	 { "mean":0.0010115087032318115, "stdv":0.0012742811477357615, "nb_samples":10 },
    OptimKey(kind='main', metric='real-loss', evalset='train', sampler='sde', eta=0.05, T=10, N=10): 	 { "mean":0.0003391146659851074, "stdv":0.0004371094562641708, "nb_samples":10 },
